Compas,Accuracy,Theil Index,Consistency,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score,F1 Score - Privileged,F1 Score - Unprivileged,Base Rate - Privileged,Base Rate - Unprivileged
Logistic Regression,0.658,0.1942,0.6574,0.4044,0.5866,0.2958,0.1557,0.6511,0.6714,0.3549,0.3177,0.3414,0.3598,758,460,390,243,320,105,149,59,438,355,241,184,0.7054,0.7547,0.6733,0.6128,0.5118
RW,0.658,0.1942,0.6574,0.4044,0.5866,0.2958,0.1557,0.6511,0.6714,0.3549,0.3177,0.3414,0.3598,758,460,390,243,320,105,149,59,438,355,241,184,0.7054,0.7547,0.6733,0.5461,0.5461
DIR,0.6694,0.2067,0.6574,0.344,0.5512,0.3215,0.1768,0.6675,0.673,0.327,0.3097,0.3384,0.3702,734,505,345,267,312,114,140,67,422,391,205,200,0.7058,0.7509,0.6757,0.6128,0.5118
PR,0.6575,0.1954,0.6574,0.4094,0.5709,0.2974,0.1583,0.6478,0.6761,0.3583,0.3125,0.3445,0.355,756,461,389,245,319,109,145,60,437,352,244,185,0.7046,0.7568,0.6708,0.6128,0.5118
GSR,0.5775,0.3026,0.6574,0.5436,0.2047,0.1865,0.7652,0.6388,0.4597,0.3904,0.3688,0.299,0.5894,595,474,376,406,89,202,52,290,506,272,324,116,0.6034,0.3423,0.697,0.6128,0.5118
EGR,0.6548,0.1864,0.6574,0.4715,0.5079,0.2363,0.2164,0.6486,0.6667,0.3717,0.3028,0.3182,0.3961,772,440,410,229,297,125,129,82,475,315,281,147,0.7073,0.7379,0.6894,0.6128,0.5118
EOP,0.6294,0.1903,0.6574,0.5352,0.5315,0.2331,0.2296,0.619,0.6493,0.4008,0.3162,0.3436,0.4223,769,396,454,232,292,119,135,87,477,277,319,145,0.6915,0.7246,0.6728,0.6128,0.5118
ROC,0.6629,0.2284,0.6574,0.3842,0.3622,0.3087,0.2929,0.6544,0.6793,0.3475,0.2556,0.3435,0.4066,698,529,321,303,268,162,92,111,430,367,229,192,0.6911,0.7253,0.6714,0.6128,0.5118
CEOP,0.6521,0.1861,0.6574,0.4044,0.689,0.2958,0.1161,0.6511,0.654,0.3549,0.3431,0.3414,0.3577,773,434,416,228,335,79,175,44,438,355,241,184,0.7059,0.7537,0.6733,0.6128,0.5118
RW + EGR,0.6548,0.1864,0.6574,0.4715,0.5079,0.2363,0.2164,0.6486,0.6667,0.3717,0.3028,0.3182,0.3961,772,440,410,229,297,125,129,82,475,315,281,147,0.7073,0.7379,0.6894,0.5461,0.5461
RW + GSR,0.5775,0.3026,0.6574,0.5436,0.2047,0.1865,0.7652,0.6388,0.4597,0.3904,0.3688,0.299,0.5894,595,474,376,406,89,202,52,290,506,272,324,116,0.6034,0.3423,0.697,0.5461,0.5461
RW + PR,0.6575,0.1954,0.6574,0.4094,0.5709,0.2974,0.1583,0.6478,0.6761,0.3583,0.3125,0.3445,0.355,756,461,389,245,319,109,145,60,437,352,244,185,0.7046,0.7568,0.6708,0.5461,0.5461
RW + CEOP,0.6521,0.1884,0.6574,0.4044,0.6732,0.2958,0.1266,0.6511,0.654,0.3549,0.3406,0.3414,0.3664,769,438,412,232,331,83,171,48,438,355,241,184,0.7049,0.7514,0.6733,0.5461,0.5461
RW + ROC,0.6629,0.2284,0.6574,0.3842,0.3622,0.3087,0.2929,0.6544,0.6793,0.3475,0.2556,0.3435,0.4066,698,529,321,303,268,162,92,111,430,367,229,192,0.6911,0.7253,0.6714,0.5461,0.5461
RW + EOP,0.6359,0.1863,0.6574,0.5285,0.5236,0.2267,0.2243,0.6256,0.6556,0.3957,0.3115,0.3341,0.4126,775,402,448,226,294,121,133,85,481,281,315,141,0.6969,0.7295,0.6784,0.5461,0.5461
DIR + EGR,0.664,0.2062,0.6574,0.4077,0.4488,0.283,0.2348,0.656,0.6793,0.3527,0.2822,0.3327,0.3886,736,493,357,265,290,140,114,89,446,353,243,176,0.703,0.7407,0.6804,0.6128,0.5118
DIR + GSR,0.5878,0.317,0.6574,0.4715,0.2047,0.2251,0.7652,0.6544,0.4597,0.3683,0.3688,0.3077,0.5894,571,517,333,430,89,202,52,290,482,315,281,140,0.5995,0.3423,0.696,0.6128,0.5118
DIR + PR,0.6634,0.2173,0.6574,0.3406,0.5354,0.3424,0.1873,0.6585,0.673,0.3317,0.3063,0.3515,0.3757,717,511,339,284,308,118,136,71,409,393,203,213,0.6971,0.7485,0.6629,0.6128,0.5118
DIR + CEOP,0.6661,0.1979,0.6574,0.344,0.6378,0.3215,0.1346,0.6675,0.6635,0.327,0.3306,0.3384,0.3566,750,483,367,251,328,92,162,51,422,391,205,200,0.7082,0.7549,0.6757,0.6128,0.5118
DIR + ROC,0.6688,0.2351,0.6574,0.344,0.3622,0.3215,0.3061,0.6675,0.6714,0.327,0.2592,0.3384,0.4173,685,553,297,316,263,162,92,116,422,391,205,200,0.6909,0.7166,0.6757,0.6128,0.5118
DIR + EOP,0.6467,0.1889,0.6574,0.4916,0.5079,0.2267,0.2401,0.6437,0.6524,0.3786,0.3094,0.3176,0.4213,769,428,422,232,288,125,129,91,481,303,293,141,0.7016,0.7236,0.6891,0.6128,0.5118
EGR + CEOP,0.6488,0.1766,0.6574,0.4715,0.622,0.2363,0.1689,0.6486,0.6493,0.3717,0.334,0.3182,0.4,790,411,439,211,315,96,158,64,475,315,281,147,0.7085,0.7394,0.6894,0.6128,0.5118
EGR + ROC,0.6548,0.1968,0.6574,0.4715,0.437,0.2363,0.2639,0.6486,0.6667,0.3717,0.2846,0.3182,0.4115,754,458,392,247,279,143,111,100,475,315,281,147,0.7024,0.7256,0.6894,0.6128,0.5118
EGR + EOP,0.6472,0.1836,0.6574,0.505,0.5079,0.2235,0.2216,0.6388,0.6635,0.3839,0.3042,0.3203,0.4019,778,420,430,223,295,125,129,84,483,295,301,139,0.7044,0.7347,0.6871,0.6128,0.5118
GSR + CEOP,0.4932,0.2298,0.6574,1,0.2047,0,0.7652,0.5107,0.4597,0.4893,0.3688,0,0.5894,711,202,648,290,89,202,52,290,622,0,596,0,0.6025,0.3423,0.6761,0.6128,0.5118
GSR + ROC,0.5413,0.5137,0.6574,0.1711,0.1772,0.6592,0.7704,0.5796,0.4676,0.3248,0.3409,0.4535,0.5828,299,703,147,702,87,209,45,292,212,494,102,410,0.4133,0.3405,0.453,0.6128,0.5118
GSR + EOP,0.5062,0.5627,0.6574,0.1829,0.2047,0.7444,0.7652,0.5304,0.4597,0.4067,0.3688,0.4874,0.5894,248,689,161,753,89,202,52,290,159,487,109,463,0.3518,0.3423,0.3573,0.6128,0.5118
PR + CEOP,0.651,0.1856,0.6574,0.4094,0.689,0.2974,0.1108,0.6478,0.6572,0.3583,0.3418,0.3445,0.3471,774,431,419,227,337,79,175,42,437,352,244,185,0.7056,0.7565,0.6708,0.6128,0.5118
PR + ROC,0.658,0.2397,0.6574,0.3725,0.3543,0.3232,0.3166,0.6527,0.6682,0.3453,0.2579,0.3496,0.4225,680,538,312,321,259,164,90,120,421,374,222,201,0.6824,0.7115,0.6656,0.6128,0.5118
PR + EOP,0.6326,0.1983,0.6574,0.5117,0.5079,0.2476,0.2427,0.6232,0.6509,0.3946,0.3101,0.3461,0.424,755,416,434,246,287,125,129,92,468,291,305,154,0.6895,0.722,0.671,0.6128,0.5118
RW + EGR + CEOP,0.6488,0.1771,0.6574,0.4715,0.6181,0.2363,0.1715,0.6486,0.6493,0.3717,0.3333,0.3182,0.4012,789,412,438,212,314,97,157,65,475,315,281,147,0.7083,0.7388,0.6894,0.5461,0.5461
RW + EGR + ROC,0.6548,0.1968,0.6574,0.4715,0.437,0.2363,0.2639,0.6486,0.6667,0.3717,0.2846,0.3182,0.4115,754,458,392,247,279,143,111,100,475,315,281,147,0.7024,0.7256,0.6894,0.5461,0.5461
RW + EGR + EOP,0.6451,0.185,0.6574,0.5084,0.5079,0.2267,0.2216,0.6355,0.6635,0.3865,0.3042,0.3249,0.4019,776,418,432,225,295,125,129,84,481,293,303,141,0.7026,0.7347,0.6842,0.5461,0.5461
RW + GSR + CEOP,0.4932,0.2298,0.6574,1,0.2047,0,0.7652,0.5107,0.4597,0.4893,0.3688,0,0.5894,711,202,648,290,89,202,52,290,622,0,596,0,0.6025,0.3423,0.6761,0.5461,0.5461
RW + GSR + ROC,0.5413,0.5137,0.6574,0.1711,0.1772,0.6592,0.7704,0.5796,0.4676,0.3248,0.3409,0.4535,0.5828,299,703,147,702,87,209,45,292,212,494,102,410,0.4133,0.3405,0.453,0.5461,0.5461
RW + GSR + EOP,0.4911,0.5781,0.6574,0.2064,0.2047,0.7669,0.7652,0.5074,0.4597,0.459,0.3688,0.5021,0.5894,234,675,175,767,89,202,52,290,145,473,123,477,0.3319,0.3423,0.3258,0.5461,0.5461
RW + PR + CEOP,0.6483,0.1905,0.6574,0.4094,0.6772,0.2974,0.1319,0.6478,0.6493,0.3583,0.3433,0.3445,0.3788,766,434,416,235,329,82,172,50,437,352,244,185,0.7018,0.7477,0.6708,0.5461,0.5461
RW + PR + ROC,0.658,0.2397,0.6574,0.3725,0.3543,0.3232,0.3166,0.6527,0.6682,0.3453,0.2579,0.3496,0.4225,680,538,312,321,259,164,90,120,421,374,222,201,0.6824,0.7115,0.6656,0.5461,0.5461
RW + PR + EOP,0.6305,0.1997,0.6574,0.5134,0.5118,0.2492,0.2454,0.6215,0.6477,0.3959,0.3125,0.3483,0.4286,753,414,436,248,286,124,130,93,467,290,306,155,0.6877,0.7195,0.6695,0.5461,0.5461
DIR + EGR + CEOP,0.6602,0.198,0.6574,0.4077,0.5354,0.283,0.1953,0.656,0.6682,0.3527,0.3084,0.3327,0.3854,751,471,379,250,305,118,136,74,446,353,243,176,0.7048,0.7439,0.6804,0.6128,0.5118
DIR + EGR + ROC,0.664,0.2161,0.6574,0.4077,0.3819,0.283,0.2797,0.656,0.6793,0.3527,0.2622,0.3327,0.403,719,510,340,282,273,157,97,106,446,353,243,176,0.6981,0.729,0.6804,0.6128,0.5118
DIR + EGR + EOP,0.6537,0.2144,0.6574,0.4262,0.4331,0.2765,0.277,0.6502,0.6603,0.3608,0.2865,0.3346,0.4217,724,486,364,277,274,144,110,105,450,342,254,172,0.6932,0.7182,0.6787,0.6128,0.5118
DIR + GSR + CEOP,0.4932,0.2298,0.6574,1,0.2047,0,0.7652,0.5107,0.4597,0.4893,0.3688,0,0.5894,711,202,648,290,89,202,52,290,622,0,596,0,0.6025,0.3423,0.6761,0.6128,0.5118
DIR + GSR + ROC,0.5397,0.5314,0.6574,0.1544,0.1339,0.6913,0.781,0.5714,0.4787,0.3239,0.2906,0.4604,0.5736,275,724,126,726,83,220,34,296,192,504,92,430,0.3923,0.3347,0.4238,0.6128,0.5118
DIR + GSR + EOP,0.4911,0.5781,0.6574,0.2064,0.2047,0.7669,0.7652,0.5074,0.4597,0.459,0.3688,0.5021,0.5894,234,675,175,767,89,202,52,290,145,473,123,477,0.3319,0.3423,0.3258,0.6128,0.5118
DIR + PR + CEOP,0.664,0.2062,0.6574,0.3406,0.6063,0.3424,0.1372,0.6585,0.6746,0.3317,0.3202,0.3515,0.3421,736,493,357,265,327,100,154,52,409,393,203,213,0.703,0.7605,0.6629,0.6128,0.5118
DIR + PR + ROC,0.6672,0.2411,0.6574,0.3557,0.3071,0.3232,0.3298,0.6609,0.6793,0.3349,0.2349,0.3436,0.4153,675,560,290,326,254,176,78,125,421,384,212,201,0.6867,0.7145,0.6709,0.6128,0.5118
DIR + PR + EOP,0.6434,0.2056,0.6574,0.4765,0.4567,0.2653,0.2507,0.6314,0.6667,0.3833,0.29,0.3459,0.4077,741,450,400,260,284,138,116,95,457,312,284,165,0.6919,0.7291,0.6706,0.6128,0.5118