German,Accuracy,Theil Index,Consistency,False Positive Rate - Unprivileged,False Positive Rate - Privileged,False Negative Rate - Unprivileged,False Negative Rate - Privileged,Accuracy - Unprivileged,Accuracy - Privileged,False Discovery Rate - Unprivileged,False Discovery Rate - Privileged,False Omission Rate - Unprivileged,False Omission Rate - Privileged,Num True Pos,Num True Neg,Num False Pos,Num False Neg,Num True Pos - Privileged,Num True Neg - Privileged,Num False Pos - Privileged,Num False Neg - Privileged,Num True Pos - Unprivileged,Num True Neg - Unprivileged,Num False Pos - Unprivileged,Num False Neg - Unprivileged,F1 Score,F1 Score - Privileged,F1 Score - Unprivileged,Base Rate - Privileged,Base Rate - Unprivileged
Logistic Regression,0.7233,0.1835,0.674,0.4286,0.4861,0.4138,0.1517,0.58,0.752,0.3462,0.1882,0.5,0.4219,168,49,44,39,151,37,35,27,17,12,9,12,0.8019,0.8297,0.6182,0.7221,0.596
RW,0.7233,0.1835,0.674,0.4286,0.4861,0.4138,0.1517,0.58,0.752,0.3462,0.1882,0.5,0.4219,168,49,44,39,151,37,35,27,17,12,9,12,0.8019,0.8297,0.6182,0.7171,0.6354
DIR,0.7333,0.1783,0.674,0.2857,0.5,0.4138,0.1461,0.64,0.752,0.2609,0.1915,0.4444,0.4194,169,51,42,38,152,36,36,26,17,15,6,12,0.8086,0.8306,0.6538,0.7221,0.596
GSR,0.7233,0.1835,0.674,0.4286,0.4861,0.4138,0.1517,0.58,0.752,0.3462,0.1882,0.5,0.4219,168,49,44,39,151,37,35,27,17,12,9,12,0.8019,0.8297,0.6182,0.7221,0.596
EGR,0.7533,0.1327,0.674,0.6667,0.4861,0.0345,0.1348,0.7,0.764,0.3333,0.1852,0.125,0.3934,182,44,49,25,154,37,35,24,28,7,14,1,0.8311,0.8392,0.7887,0.7221,0.596
PR,0.6933,0.1884,0.674,0.7143,0.5278,0.4483,0.1461,0.44,0.744,0.4839,0.2,0.6842,0.4333,168,40,53,39,152,34,38,26,16,6,15,13,0.785,0.8261,0.5333,0.7221,0.596
CEOP,0.69,0.0973,0.674,0.4286,1,0.4138,0,0.58,0.712,0.3462,0.288,0.5,0,195,12,81,12,178,0,72,0,17,12,9,12,0.8075,0.8318,0.6182,0.7221,0.596
ROC,0.7133,0.2624,0.674,0.4762,0.1944,0.3448,0.2921,0.6,0.736,0.3448,0.1,0.4762,0.4727,145,69,24,62,126,58,14,52,19,11,10,10,0.7713,0.7925,0.6552,0.7221,0.596
EOP,0.56,0.4011,0.674,0.4286,0.4722,0.4138,0.4326,0.58,0.556,0.3462,0.2519,0.5,0.6696,118,50,43,89,101,38,34,77,17,12,9,12,0.6413,0.6454,0.6182,0.7221,0.596
RW + EGR,0.7533,0.1327,0.674,0.6667,0.4861,0.0345,0.1348,0.7,0.764,0.3333,0.1852,0.125,0.3934,182,44,49,25,154,37,35,24,28,7,14,1,0.8311,0.8392,0.7887,0.7171,0.6354
RW + GSR,0.7233,0.1835,0.674,0.4286,0.4861,0.4138,0.1517,0.58,0.752,0.3462,0.1882,0.5,0.4219,168,49,44,39,151,37,35,27,17,12,9,12,0.8019,0.8297,0.6182,0.7171,0.6354
RW + PR,0.6933,0.1884,0.674,0.7143,0.5278,0.4483,0.1461,0.44,0.744,0.4839,0.2,0.6842,0.4333,168,40,53,39,152,34,38,26,16,6,15,13,0.785,0.8261,0.5333,0.7171,0.6354
RW + CEOP,0.69,0.0973,0.674,0.4286,1,0.4138,0,0.58,0.712,0.3462,0.288,0.5,0,195,12,81,12,178,0,72,0,17,12,9,12,0.8075,0.8318,0.6182,0.7171,0.6354
RW + ROC,0.7133,0.2624,0.674,0.4762,0.1944,0.3448,0.2921,0.6,0.736,0.3448,0.1,0.4762,0.4727,145,69,24,62,126,58,14,52,19,11,10,10,0.7713,0.7925,0.6552,0.7171,0.6354
RW + EOP,0.56,0.4011,0.674,0.4286,0.4722,0.4138,0.4326,0.58,0.556,0.3462,0.2519,0.5,0.6696,118,50,43,89,101,38,34,77,17,12,9,12,0.6413,0.6454,0.6182,0.7171,0.6354
DIR + EGR,0.7433,0.1504,0.674,0.5714,0.4861,0.1034,0.1517,0.7,0.752,0.3158,0.1882,0.25,0.4219,177,46,47,30,151,37,35,27,26,9,12,3,0.8213,0.8297,0.7761,0.7221,0.596
DIR + GSR,0.7333,0.1783,0.674,0.2857,0.5,0.4138,0.1461,0.64,0.752,0.2609,0.1915,0.4444,0.4194,169,51,42,38,152,36,36,26,17,15,6,12,0.8086,0.8306,0.6538,0.7221,0.596
DIR + PR,0.7033,0.1869,0.674,0.6667,0.5,0.5172,0.1348,0.42,0.76,0.5,0.1895,0.6818,0.4,168,43,50,39,154,36,36,24,14,7,14,15,0.7906,0.837,0.4912,0.7221,0.596
DIR + CEOP,0.7,0.0966,0.674,0.2857,1,0.4138,0,0.64,0.712,0.2609,0.288,0.4444,0,195,15,78,12,178,0,72,0,17,15,6,12,0.8125,0.8318,0.6538,0.7221,0.596
DIR + ROC,0.7167,0.2745,0.674,0.3333,0.1667,0.3793,0.309,0.64,0.732,0.28,0.0889,0.44,0.4783,141,74,19,66,123,60,12,55,18,14,7,11,0.7684,0.7859,0.6667,0.7221,0.596
DIR + EOP,0.6333,0.3297,0.674,0.3333,0.3889,0.3448,0.3652,0.66,0.628,0.2692,0.1986,0.4167,0.5963,132,58,35,75,113,44,28,65,19,14,7,10,0.7059,0.7085,0.6909,0.7221,0.596
EGR + CEOP,0.72,0.0949,0.674,0.6667,0.8056,0.0345,0.0618,0.7,0.724,0.3333,0.2578,0.125,0.44,195,21,72,12,167,14,58,11,28,7,14,1,0.8228,0.8288,0.7887,0.7221,0.596
EGR + ROC,0.7333,0.1783,0.674,0.381,0.4722,0.3448,0.1573,0.64,0.752,0.2963,0.1848,0.4348,0.4242,169,51,42,38,150,38,34,28,19,13,8,10,0.8086,0.8287,0.6786,0.7221,0.596
EGR + EOP,0.7333,0.1227,0.674,0.619,0.6389,0.069,0.1067,0.7,0.74,0.325,0.2244,0.2,0.4222,186,34,59,21,159,26,46,19,27,8,13,2,0.823,0.8303,0.7826,0.7221,0.596
GSR + CEOP,0.69,0.0973,0.674,0.4286,1,0.4138,0,0.58,0.712,0.3462,0.288,0.5,0,195,12,81,12,178,0,72,0,17,12,9,12,0.8075,0.8318,0.6182,0.7221,0.596
GSR + ROC,0.7133,0.2624,0.674,0.4762,0.1944,0.3448,0.2921,0.6,0.736,0.3448,0.1,0.4762,0.4727,145,69,24,62,126,58,14,52,19,11,10,10,0.7713,0.7925,0.6552,0.7221,0.596
GSR + EOP,0.5667,0.3957,0.674,0.4286,0.4583,0.4138,0.427,0.58,0.564,0.3462,0.2444,0.5,0.6609,119,51,42,88,102,39,33,76,17,12,9,12,0.6467,0.6518,0.6182,0.7221,0.596
PR + CEOP,0.6667,0.102,0.674,0.7143,1,0.4483,0,0.44,0.712,0.4839,0.288,0.6842,0,194,6,87,13,178,0,72,0,16,6,15,13,0.7951,0.8318,0.5333,0.7221,0.596
PR + ROC,0.7067,0.261,0.674,0.619,0.1944,0.5172,0.2584,0.44,0.76,0.4815,0.0959,0.6522,0.4423,146,66,27,61,132,58,14,46,14,8,13,15,0.7684,0.8148,0.5,0.7221,0.596
PR + EOP,0.5167,0.5312,0.674,0.3333,0.3056,0.5862,0.5562,0.52,0.516,0.3684,0.2178,0.5484,0.6644,91,64,29,116,79,50,22,99,12,14,7,17,0.5566,0.5663,0.5,0.7221,0.596
RW + EGR + CEOP,0.7367,0.1094,0.674,0.6667,0.6667,0.0345,0.0899,0.7,0.744,0.3333,0.2286,0.125,0.4,190,31,62,17,162,24,48,16,28,7,14,1,0.8279,0.8351,0.7887,0.7171,0.6354
RW + EGR + ROC,0.7333,0.1783,0.674,0.381,0.4722,0.3448,0.1573,0.64,0.752,0.2963,0.1848,0.4348,0.4242,169,51,42,38,150,38,34,28,19,13,8,10,0.8086,0.8287,0.6786,0.7171,0.6354
RW + EGR + EOP,0.7533,0.1104,0.674,0.619,0.5972,0.069,0.0899,0.7,0.764,0.325,0.2098,0.2,0.3556,189,37,56,18,162,29,43,16,27,8,13,2,0.8363,0.846,0.7826,0.7171,0.6354
RW + GSR + CEOP,0.69,0.0973,0.674,0.4286,1,0.4138,0,0.58,0.712,0.3462,0.288,0.5,0,195,12,81,12,178,0,72,0,17,12,9,12,0.8075,0.8318,0.6182,0.7171,0.6354
RW + GSR + ROC,0.7133,0.2624,0.674,0.4762,0.1944,0.3448,0.2921,0.6,0.736,0.3448,0.1,0.4762,0.4727,145,69,24,62,126,58,14,52,19,11,10,10,0.7713,0.7925,0.6552,0.7171,0.6354
RW + GSR + EOP,0.5867,0.3793,0.674,0.4286,0.4167,0.4138,0.4101,0.58,0.588,0.3462,0.2222,0.5,0.6348,122,54,39,85,105,42,30,73,17,12,9,12,0.663,0.6709,0.6182,0.7171,0.6354
RW + PR + CEOP,0.6667,0.102,0.674,0.7143,1,0.4483,0,0.44,0.712,0.4839,0.288,0.6842,0,194,6,87,13,178,0,72,0,16,6,15,13,0.7951,0.8318,0.5333,0.7171,0.6354
RW + PR + ROC,0.7067,0.261,0.674,0.619,0.1944,0.5172,0.2584,0.44,0.76,0.4815,0.0959,0.6522,0.4423,146,66,27,61,132,58,14,46,14,8,13,15,0.7684,0.8148,0.5,0.7171,0.6354
RW + PR + EOP,0.5433,0.5052,0.674,0.2381,0.2778,0.5172,0.5449,0.6,0.532,0.2632,0.198,0.4839,0.651,95,68,25,112,81,52,20,97,14,16,5,15,0.581,0.5806,0.5833,0.7171,0.6354
DIR + EGR + CEOP,0.7467,0.1049,0.674,0.5714,0.6667,0.1034,0.073,0.7,0.756,0.3158,0.2254,0.25,0.3514,191,33,60,16,165,24,48,13,26,9,12,3,0.8341,0.844,0.7761,0.7221,0.596
DIR + EGR + ROC,0.7533,0.1518,0.674,0.5714,0.4306,0.1034,0.1573,0.7,0.764,0.3158,0.1713,0.25,0.4058,176,50,43,31,150,41,31,28,26,9,12,3,0.8263,0.8357,0.7761,0.7221,0.596
DIR + EGR + EOP,0.74,0.1413,0.674,0.5714,0.5417,0.1379,0.1292,0.68,0.752,0.3243,0.201,0.3077,0.4107,180,42,51,27,155,33,39,23,25,9,12,4,0.8219,0.8333,0.7576,0.7221,0.596
DIR + GSR + CEOP,0.7,0.0966,0.674,0.2857,1,0.4138,0,0.64,0.712,0.2609,0.288,0.4444,0,195,15,78,12,178,0,72,0,17,15,6,12,0.8125,0.8318,0.6538,0.7221,0.596
DIR + GSR + ROC,0.7167,0.2745,0.674,0.3333,0.1667,0.3793,0.309,0.64,0.732,0.28,0.0889,0.44,0.4783,141,74,19,66,123,60,12,55,18,14,7,11,0.7684,0.7859,0.6667,0.7221,0.596
DIR + GSR + EOP,0.64,0.3244,0.674,0.2857,0.3889,0.3103,0.3652,0.7,0.628,0.2308,0.1986,0.375,0.5963,133,59,34,74,113,44,28,65,20,15,6,9,0.7112,0.7085,0.7273,0.7221,0.596
DIR + PR + CEOP,0.6633,0.1089,0.674,0.6667,1,0.5172,0,0.42,0.712,0.5,0.288,0.6818,0,192,7,86,15,178,0,72,0,14,7,14,15,0.7918,0.8318,0.4912,0.7221,0.596
DIR + PR + ROC,0.7167,0.2148,0.674,0.7143,0.3056,0.3448,0.2135,0.5,0.76,0.4412,0.1358,0.625,0.4318,159,56,37,48,140,50,22,38,19,6,15,10,0.7891,0.8235,0.6032,0.7221,0.596
DIR + PR + EOP,0.5767,0.4354,0.674,0.381,0.2917,0.5172,0.4663,0.54,0.584,0.3636,0.181,0.5357,0.6194,109,64,29,98,95,51,21,83,14,13,8,15,0.6319,0.6463,0.549,0.7221,0.596